longitude,latitude,month,severity,ndvi,evi,lai,fpar,elevation,relative_humidity,dew_point,surface_pressure,cloud_cover,wind_speed,soil_temperature,soil_moisture,direct_radiation,weather_code,temperature,precipitation,evapotranspiration
86.33588216329578,26.364986008203857,12,0,4123,2252,3,30,57.0,78.02326202392578,11.50149917602539,1008.7879028320312,65.54166412353516,6.900421142578125,16.42650032043457,0.24541665613651276,88.29166412353516,3.0,15.530667304992676,0.0,2.065145969390869
68.73804499543398,23.781018126423678,12,0,3015,1840,4,35,15.0,38.54481887817383,6.433833599090576,1012.0795288085938,23.20833396911621,11.573023796081543,23.38591766357422,0.023000000044703484,128.3333282470703,3.0,22.144248962402344,0.0,4.786738872528076
74.30084753307945,25.821118330944,6,0,3412,2486,3,15,480.0,60.422611236572266,22.446496963500977,947.814697265625,46.41666793823242,18.05595588684082,33.68400192260742,0.15587499737739563,142.6666717529297,53.0,31.319414138793945,0.8999999761581421,6.589106559753418
76.7340259136283,10.320334544534875,12,0,7923,2993,33,81,824.0,76.74175262451172,16.97608184814453,921.1179809570312,68.0,14.820481300354004,20.871915817260742,0.4776249825954437,129.0416717529297,51.0,21.344833374023438,0.6000000238418579,3.55055832862854
72.56442333049584,23.364243207366837,12,0,6035,3665,12,61,87.0,71.51993560791016,14.752833366394043,1000.76904296875,18.79166603088379,6.920960903167725,21.719499588012695,0.19616667926311493,115.70833587646484,2.0,20.738248825073242,0.0,2.950227737426758
77.0168874440226,26.441845861659406,6,0,3970,2782,6,28,281.0,48.12568664550781,20.095251083374023,969.5221557617188,38.0,10.006255149841309,35.211917877197266,0.14287500083446503,130.3333282470703,2.0,32.85358428955078,0.0,6.251641273498535
74.80382728015891,35.13837852186513,9,0,2811,1332,2,11,2621.0,39.2153434753418,0.3679170608520508,748.5529174804688,14.541666984558105,4.153019905090332,14.970001220703125,0.24833333492279053,224.125,51.0,14.83458423614502,0.10000000149011612,4.257791042327881
75.02744759645987,34.56712228414914,10,0,2364,1299,3,16,2826.0,54.74924850463867,-1.4371665716171265,731.3366088867188,10.458333015441895,4.3686065673828125,7.700334072113037,0.30933332443237305,205.25,51.0,8.0711669921875,0.10000000149011612,3.338402032852173
77.49264757660819,26.769296022680255,11,0,2782,1609,4,24,206.0,70.25660705566406,16.58158302307129,991.8347778320312,13.458333015441895,5.03537130355835,24.596166610717773,0.16166667640209198,116.70833587646484,51.0,22.981584548950195,0.7000000476837158,3.0434420108795166
78.30984994059374,27.259264731225255,9,0,5074,3512,6,29,169.0,77.10504150390625,24.219833374023438,987.8684692382812,13.0,4.237743377685547,30.451082229614258,0.2943333387374878,154.75,51.0,28.884416580200195,0.10000000149011612,4.166999816894531
76.84877520496347,27.267298233835465,8,0,6411,5211,16,55,250.0,81.21781158447266,24.41583251953125,972.653076171875,97.54166412353516,11.178437232971191,29.39499855041504,0.3735833466053009,96.54166412353516,65.0,28.032499313354492,18.5,3.981276512145996
96.5459045909689,27.842545926779437,1,0,7845,3870,28,86,2376.0,84.36104583740234,-3.0341663360595703,764.1559448242188,56.70833206176758,3.1430671215057373,0.29916664958000183,0.32758334279060364,94.66666412353516,75.0,-0.6154167652130127,2.200000047683716,1.6406596899032593
