longitude,latitude,month,severity,ndvi,evi,lai,fpar,elevation,relative_humidity,dew_point,surface_pressure,cloud_cover,wind_speed,soil_temperature,soil_moisture,direct_radiation,weather_code,temperature,precipitation,evapotranspiration
77.0741337941391,14.71446460592642,12,0,4188,2261,3,24,471.0,71.3903579711914,18.56999969482422,961.498046875,59.5,14.301640510559082,26.44916534423828,0.2749583423137665,81.25,51.0,24.5575008392334,0.20000000298023224,3.656198740005493
76.64231680474089,27.903831606151268,10,0,2429,1553,5,26,282.0,37.20627975463867,10.874332427978516,975.7279663085938,2.4166667461395264,9.425877571105957,28.963918685913086,0.14862500131130219,170.6666717529297,1.0,27.84308624267578,0.0,6.144461154937744
73.51986649263826,22.13066145323998,2,0,4929,2994,7,40,50.0,41.97712326049805,11.173416137695312,1005.71875,0.0,6.640066146850586,26.83591651916504,0.2529999911785126,198.5416717529297,0.0,25.850500106811523,0.0,5.401602268218994
77.57824898560736,11.558467430776096,11,0,6441,3863,11,50,217.0,75.7665023803711,22.192415237426758,988.4807739257812,64.625,5.357380390167236,28.656999588012695,0.31058332324028015,148.2916717529297,51.0,27.054916381835938,0.9000000357627869,3.865814447402954
82.31715339026648,25.023248050592397,4,0,2519,1540,2,14,165.0,38.19587326049805,13.557415962219238,989.5711059570312,93.58333587646484,11.377123832702637,31.722000122070312,0.16379167139530182,116.33333587646484,3.0,30.43449592590332,0.0,6.956437587738037
78.04035158687688,8.54530126692378,2,0,5776,3779,12,55,17.0,76.2028579711914,22.236417770385742,1010.38916015625,54.79166793823242,14.815129280090332,28.8718318939209,0.0832916721701622,173.875,53.0,27.017667770385742,2.8000001907348633,4.740870952606201
82.77247153007508,22.810437831338113,3,0,4661,2474,8,35,512.0,34.69721603393555,7.8894171714782715,955.29833984375,1.8333333730697632,9.142176628112793,25.847747802734375,0.1534166783094406,195.2083282470703,0.0,25.87274932861328,0.0,6.028143882751465
84.75508728172738,22.847711915150505,12,0,5606,2790,7,49,550.0,80.6220474243164,13.72249984741211,951.8894653320312,39.66666793823242,9.146395683288574,18.968332290649414,0.3656250238418579,83.20833587646484,3.0,17.34749984741211,0.0,2.4363183975219727
76.65986182888982,33.01243779687421,10,0,1359,674,1,7,4487.0,65.77954864501953,-8.374749183654785,597.6165771484375,44.20833206176758,6.623956680297852,2.225250005722046,0.2554999887943268,208.9583282470703,3.0,-2.1122500896453857,0.0,2.776756763458252
77.82105298536277,16.826644373754295,12,0,5327,3652,10,49,509.0,84.64762115478516,19.592832565307617,953.70556640625,79.625,15.349346160888672,22.834497451782227,0.2225833386182785,41.95833206176758,55.0,22.515748977661133,3.500000238418579,2.3261938095092773
79.7451573367419,15.98201809076363,4,0,3405,2120,7,33,78.0,64.7157974243164,22.26900291442871,999.478759765625,56.54166793823242,12.47545337677002,34.8419189453125,0.25041663646698,220.0416717529297,3.0,31.806501388549805,0.0,7.0669121742248535
77.15246201511775,9.20042832665317,12,0,8739,3673,1,6,1026.0,79.05864715576172,15.59808349609375,904.0057983398438,88.625,12.149697303771973,20.498085021972656,0.41495832800865173,159.75,3.0,19.550167083740234,0.0,3.735945224761963
